ticker,name,year,esg,e,s,g,sector,industry
A,AGILENT TECHS.,2020,38.06,84.83,55.44,77.37,Healthcare,Diagnostics & Research
A,AGILENT TECHS.,2021,43.36,81.88,38.98,71.33,Healthcare,Diagnostics & Research
A,AGILENT TECHS.,2022,45.17,79.31,40.12,70.19,Healthcare,Diagnostics & Research
A,AGILENT TECHS.,2023,46.06,80.86,33.24,76.68,Healthcare,Diagnostics & Research
A,AGILENT TECHS.,2024,48.05,80.65,45.22,74.26,Healthcare,Diagnostics & Research
AAPL,APPLE,2020,73.16,52.75,39.14,67.45,Technology,Consumer Electronics
AAPL,APPLE,2021,73.67,45.16,46.36,67.07,Technology,Consumer Electronics
AAPL,APPLE,2022,70.65,44.67,47.03,69.02,Technology,Consumer Electronics
AAPL,APPLE,2023,70.11,52.72,47.27,66.26,Technology,Consumer Electronics
AAPL,APPLE,2024,69.22,56.04,49.66,64.77,Technology,Consumer Electronics
ABBV,ABBVIE,2020,84.64,49.41,56.83,49.08,Healthcare,Drug Manufacturers - General
ABBV,ABBVIE,2021,84.0,50.97,61.16,55.33,Healthcare,Drug Manufacturers - General
ABBV,ABBVIE,2022,83.81,52.0,58.71,64.89,Healthcare,Drug Manufacturers - General
ABBV,ABBVIE,2023,86.21,53.78,58.94,58.41,Healthcare,Drug Manufacturers - General
ABBV,ABBVIE,2024,85.07,52.42,64.8,66.7,Healthcare,Drug Manufacturers - General
ABNB,AIRBNB A,2020,37.51,59.66,82.39,53.87,Consumer Cyclical,Travel Services
ABNB,AIRBNB A,2021,35.12,66.52,80.52,62.03,Consumer Cyclical,Travel Services
ABNB,AIRBNB A,2022,33.46,60.36,75.55,66.36,Consumer Cyclical,Travel Services
ABNB,AIRBNB A,2023,30.74,66.36,83.55,61.82,Consumer Cyclical,Travel Services
ABNB,AIRBNB A,2024,30.61,65.14,75.82,52.34,Consumer Cyclical,Travel Services
ABT,ABBOTT LABORATORIES,2020,79.99,52.71,57.77,41.06,Healthcare,Medical Devices
ABT,ABBOTT LABORATORIES,2021,69.64,52.11,66.77,46.41,Healthcare,Medical Devices
ABT,ABBOTT LABORATORIES,2022,73.18,49.27,69.13,52.09,Healthcare,Medical Devices
ABT,ABBOTT LABORATORIES,2023,80.18,48.49,64.2,54.07,Healthcare,Medical Devices
ABT,ABBOTT LABORATORIES,2024,55.57,47.06,61.22,52.93,Healthcare,Medical Devices
ACGL,ARCH CAP.GP.,2020,81.71,59.45,59.25,49.21,Financial Services,Insurance - Diversified
ACGL,ARCH CAP.GP.,2021,84.0,63.88,67.31,50.35,Financial Services,Insurance - Diversified
ACGL,ARCH CAP.GP.,2022,80.49,72.27,73.09,53.95,Financial Services,Insurance - Diversified
ACGL,ARCH CAP.GP.,2023,90.75,69.79,69.47,53.5,Financial Services,Insurance - Diversified
ACGL,ARCH CAP.GP.,2024,89.79,68.24,65.7,55.03,Financial Services,Insurance - Diversified
ACN,ACCENTURE CLASS A,2020,69.6,72.45,76.18,,Technology,Information Technology Services
ACN,ACCENTURE CLASS A,2021,55.77,72.75,76.6,,Technology,Information Technology Services
ACN,ACCENTURE CLASS A,2022,49.92,74.22,75.28,,Technology,Information Technology Services
ACN,ACCENTURE CLASS A,2023,50.65,55.05,77.4,49.78,Technology,Information Technology Services
ACN,ACCENTURE CLASS A,2024,86.38,55.01,76.95,63.3,Technology,Information Technology Services
ADBE,ADOBE (NAS),2020,78.07,63.51,74.87,45.95,Technology,Software - Application
ADBE,ADOBE (NAS),2021,77.84,61.41,75.25,52.47,Technology,Software - Application
ADBE,ADOBE (NAS),2022,79.55,59.99,78.12,51.93,Technology,Software - Application
ADBE,ADOBE (NAS),2023,82.86,58.85,77.97,74.27,Technology,Software - Application
ADBE,ADOBE (NAS),2024,82.54,50.85,75.72,73.58,Technology,Software - Application
ADI,ANALOG DEVICES,2020,66.04,57.64,87.89,21.14,Technology,Semiconductors
ADI,ANALOG DEVICES,2021,71.43,55.71,87.79,20.83,Technology,Semiconductors
ADI,ANALOG DEVICES,2022,68.43,55.89,87.24,16.63,Technology,Semiconductors
ADI,ANALOG DEVICES,2023,70.95,60.35,83.24,23.04,Technology,Semiconductors
ADI,ANALOG DEVICES,2024,71.87,60.55,79.08,23.98,Technology,Semiconductors
ADM,ARCHER DANIELS MIDLAND,2020,76.57,71.02,81.49,75.92,Consumer Defensive,Farm Products
ADM,ARCHER DANIELS MIDLAND,2021,76.86,77.49,68.03,74.55,Consumer Defensive,Farm Products
ADM,ARCHER DANIELS MIDLAND,2022,76.53,76.55,71.81,77.21,Consumer Defensive,Farm Products
ADM,ARCHER DANIELS MIDLAND,2023,75.09,74.72,61.09,77.4,Consumer Defensive,Farm Products
ADM,ARCHER DANIELS MIDLAND,2024,74.35,74.06,87.06,77.43,Consumer Defensive,Farm Products
ADP,AUTOMATIC DATA PROC.,2020,73.1,49.74,86.28,95.75,Technology,Software - Application
ADP,AUTOMATIC DATA PROC.,2021,67.95,43.72,80.52,95.69,Technology,Software - Application
ADP,AUTOMATIC DATA PROC.,2022,74.6,54.95,89.77,95.12,Technology,Software - Application
ADP,AUTOMATIC DATA PROC.,2023,63.99,53.17,87.8,94.12,Technology,Software - Application
ADP,AUTOMATIC DATA PROC.,2024,64.93,52.11,91.76,94.01,Technology,Software - Application
ADSK,AUTODESK,2020,79.42,79.22,79.7,74.9,Technology,Software - Application
ADSK,AUTODESK,2021,74.11,87.23,77.31,73.74,Technology,Software - Application
ADSK,AUTODESK,2022,81.7,86.5,76.44,68.41,Technology,Software - Application
ADSK,AUTODESK,2023,81.13,86.08,75.01,65.48,Technology,Software - Application
ADSK,AUTODESK,2024,80.0,84.95,77.1,63.64,Technology,Software - Application
AEE,AMEREN,2020,76.62,79.05,61.09,63.43,Utilities,Utilities - Regulated Electric
AEE,AMEREN,2021,72.95,89.17,78.24,65.5,Utilities,Utilities - Regulated Electric
AEE,AMEREN,2022,80.8,87.18,61.46,44.22,Utilities,Utilities - Regulated Electric
AEE,AMEREN,2023,74.42,82.07,61.33,40.95,Utilities,Utilities - Regulated Electric
AEE,AMEREN,2024,72.88,81.41,61.32,44.16,Utilities,Utilities - Regulated Electric
AEP,AMER.ELEC.PWR.,2020,48.55,69.34,84.73,88.1,Utilities,Utilities - Regulated Electric
AEP,AMER.ELEC.PWR.,2021,53.06,68.77,83.71,85.09,Utilities,Utilities - Regulated Electric
AEP,AMER.ELEC.PWR.,2022,54.01,65.5,83.3,84.41,Utilities,Utilities - Regulated Electric
AEP,AMER.ELEC.PWR.,2023,51.27,65.97,84.64,83.5,Utilities,Utilities - Regulated Electric
AEP,AMER.ELEC.PWR.,2024,49.93,60.21,82.98,80.28,Utilities,Utilities - Regulated Electric
AES,AES,2020,87.57,60.38,64.97,51.03,Utilities,Utilities - Diversified
AES,AES,2021,83.07,60.14,83.23,59.66,Utilities,Utilities - Diversified
AES,AES,2022,77.58,60.19,83.6,59.67,Utilities,Utilities - Diversified
AES,AES,2023,83.7,59.48,69.48,53.57,Utilities,Utilities - Diversified
AES,AES,2024,82.72,53.36,64.24,55.07,Utilities,Utilities - Diversified
AFL,AFLAC,2020,78.44,62.14,87.5,89.98,Financial Services,Insurance - Life
AFL,AFLAC,2021,78.51,64.29,84.01,91.11,Financial Services,Insurance - Life
AFL,AFLAC,2022,78.22,56.9,81.39,90.93,Financial Services,Insurance - Life
AFL,AFLAC,2023,78.56,63.66,88.38,90.64,Financial Services,Insurance - Life
AFL,AFLAC,2024,78.63,71.94,89.81,88.98,Financial Services,Insurance - Life
AIG,AMERICAN INTL.GP.,2020,96.48,34.83,74.52,48.85,Financial Services,Insurance - Diversified
AIG,AMERICAN INTL.GP.,2021,96.19,41.56,74.99,47.65,Financial Services,Insurance - Diversified
AIG,AMERICAN INTL.GP.,2022,95.29,26.93,77.88,44.76,Financial Services,Insurance - Diversified
AIG,AMERICAN INTL.GP.,2023,94.02,44.35,82.38,47.73,Financial Services,Insurance - Diversified
AIG,AMERICAN INTL.GP.,2024,93.5,64.79,81.62,50.78,Financial Services,Insurance - Diversified
AIZ,ASSURANT,2020,55.87,66.83,73.21,59.6,Financial Services,Insurance - Property & Casualty
AIZ,ASSURANT,2021,42.29,64.46,73.51,51.03,Financial Services,Insurance - Property & Casualty
AIZ,ASSURANT,2022,43.45,64.87,73.15,56.6,Financial Services,Insurance - Property & Casualty
AIZ,ASSURANT,2023,36.14,62.11,69.94,50.78,Financial Services,Insurance - Property & Casualty
AIZ,ASSURANT,2024,38.18,60.7,61.55,47.43,Financial Services,Insurance - Property & Casualty
AJG,ARTHUR J GALLAGHER,2020,78.87,43.66,29.06,6.59,Financial Services,Insurance Brokers
AJG,ARTHUR J GALLAGHER,2021,83.86,51.18,65.8,20.34,Financial Services,Insurance Brokers
AJG,ARTHUR J GALLAGHER,2022,81.34,46.06,64.18,27.17,Financial Services,Insurance Brokers
AJG,ARTHUR J GALLAGHER,2023,81.53,44.14,61.32,39.8,Financial Services,Insurance Brokers
AJG,ARTHUR J GALLAGHER,2024,78.84,41.12,58.9,28.52,Financial Services,Insurance Brokers
AKAM,AKAMAI TECHS.,2020,0.0,33.35,73.02,76.78,Technology,Software - Infrastructure
AKAM,AKAMAI TECHS.,2021,1.37,37.45,81.01,74.86,Technology,Software - Infrastructure
AKAM,AKAMAI TECHS.,2022,25.94,46.28,77.66,73.5,Technology,Software - Infrastructure
AKAM,AKAMAI TECHS.,2023,23.32,42.11,74.63,72.45,Technology,Software - Infrastructure
AKAM,AKAMAI TECHS.,2024,21.57,40.38,78.3,71.54,Technology,Software - Infrastructure
ALB,ALBEMARLE,2020,72.72,93.44,66.97,92.26,Basic Materials,Specialty Chemicals
ALB,ALBEMARLE,2021,72.6,93.15,71.24,92.56,Basic Materials,Specialty Chemicals
ALB,ALBEMARLE,2022,62.81,93.11,65.18,91.74,Basic Materials,Specialty Chemicals
ALB,ALBEMARLE,2023,58.33,91.35,60.61,87.41,Basic Materials,Specialty Chemicals
ALB,ALBEMARLE,2024,56.83,90.37,67.58,90.8,Basic Materials,Specialty Chemicals
ALGN,ALIGN TECHNOLOGY,2020,28.99,36.76,75.36,24.32,Healthcare,Medical Instruments & Supplies
ALGN,ALIGN TECHNOLOGY,2021,36.02,50.67,80.06,18.63,Healthcare,Medical Instruments & Supplies
ALGN,ALIGN TECHNOLOGY,2022,38.03,45.33,76.46,24.08,Healthcare,Medical Instruments & Supplies
ALGN,ALIGN TECHNOLOGY,2023,39.24,41.09,69.86,22.96,Healthcare,Medical Instruments & Supplies
ALGN,ALIGN TECHNOLOGY,2024,39.72,42.3,65.87,20.89,Healthcare,Medical Instruments & Supplies
ALL,ALLSTATE ORD SHS,2020,97.81,66.78,43.88,25.66,Financial Services,Insurance - Property & Casualty
ALL,ALLSTATE ORD SHS,2021,97.38,78.28,41.03,48.75,Financial Services,Insurance - Property & Casualty
ALL,ALLSTATE ORD SHS,2022,99.38,77.52,52.78,50.19,Financial Services,Insurance - Property & Casualty
ALL,ALLSTATE ORD SHS,2023,98.64,74.01,46.16,52.64,Financial Services,Insurance - Property & Casualty
ALL,ALLSTATE ORD SHS,2024,94.05,73.16,43.82,48.79,Financial Services,Insurance - Property & Casualty
ALLE,ALLEGION,2020,38.18,40.01,52.73,65.4,Industrials,Security & Protection Services
ALLE,ALLEGION,2021,38.51,37.71,47.8,64.38,Industrials,Security & Protection Services
ALLE,ALLEGION,2022,44.61,38.74,59.78,67.92,Industrials,Security & Protection Services
ALLE,ALLEGION,2023,47.57,42.86,59.77,62.98,Industrials,Security & Protection Services
ALLE,ALLEGION,2024,47.36,42.32,67.53,,Industrials,Security & Protection Services
AMAT,APPLIED MATS.,2020,74.8,79.86,56.95,26.59,Technology,Semiconductor Equipment & Materials
AMAT,APPLIED MATS.,2021,75.74,82.89,72.79,26.67,Technology,Semiconductor Equipment & Materials
AMAT,APPLIED MATS.,2022,70.83,83.11,71.81,31.03,Technology,Semiconductor Equipment & Materials
AMAT,APPLIED MATS.,2023,67.95,83.07,70.62,26.28,Technology,Semiconductor Equipment & Materials
AMAT,APPLIED MATS.,2024,67.26,83.07,69.41,16.93,Technology,Semiconductor Equipment & Materials
AMCR,AMCOR,2020,38.45,66.21,57.62,77.21,Consumer Cyclical,Packaging & Containers
AMCR,AMCOR,2021,35.93,65.91,72.07,79.44,Consumer Cyclical,Packaging & Containers
AMCR,AMCOR,2022,32.54,52.32,68.42,76.97,Consumer Cyclical,Packaging & Containers
AMCR,AMCOR,2023,32.46,70.12,66.06,75.41,Consumer Cyclical,Packaging & Containers
AMCR,AMCOR,2024,31.05,53.78,67.17,74.38,Consumer Cyclical,Packaging & Containers
AMD,ADVANCED MICRO DEVICES,2020,80.59,78.95,62.41,39.59,Technology,Semiconductors
AMD,ADVANCED MICRO DEVICES,2021,80.71,79.04,67.25,46.84,Technology,Semiconductors
AMD,ADVANCED MICRO DEVICES,2022,82.8,77.28,70.0,59.89,Technology,Semiconductors
AMD,ADVANCED MICRO DEVICES,2023,83.3,74.19,68.42,64.31,Technology,Semiconductors
AMD,ADVANCED MICRO DEVICES,2024,82.75,71.63,67.09,72.44,Technology,Semiconductors
AME,AMETEK,2020,67.03,27.18,91.51,0.0,Industrials,Specialty Industrial Machinery
AME,AMETEK,2021,68.29,34.5,88.04,18.2,Industrials,Specialty Industrial Machinery
AME,AMETEK,2022,61.43,38.0,86.55,27.14,Industrials,Specialty Industrial Machinery
AME,AMETEK,2023,61.48,38.79,82.7,68.42,Industrials,Specialty Industrial Machinery
AME,AMETEK,2024,52.03,37.6,83.46,70.06,Industrials,Specialty Industrial Machinery
AMGN,AMGEN,2020,74.7,69.12,31.45,75.97,Healthcare,Drug Manufacturers - General
AMGN,AMGEN,2021,78.97,58.41,27.06,79.01,Healthcare,Drug Manufacturers - General
AMGN,AMGEN,2022,76.4,73.16,28.82,81.62,Healthcare,Drug Manufacturers - General
AMGN,AMGEN,2023,81.96,72.49,25.43,78.1,Healthcare,Drug Manufacturers - General
AMGN,AMGEN,2024,79.01,71.41,24.58,77.79,Healthcare,Drug Manufacturers - General
AMP,AMERIPRISE FINL.,2020,73.19,66.25,80.01,84.7,Financial Services,Asset Management
AMP,AMERIPRISE FINL.,2021,73.83,73.06,74.34,86.48,Financial Services,Asset Management
AMP,AMERIPRISE FINL.,2022,79.82,69.2,82.44,82.22,Financial Services,Asset Management
AMP,AMERIPRISE FINL.,2023,72.54,68.96,79.91,86.17,Financial Services,Asset Management
AMP,AMERIPRISE FINL.,2024,75.68,63.72,77.41,86.17,Financial Services,Asset Management
AMT,AMERICAN TOWER,2020,70.17,66.2,51.76,76.14,Real Estate,REIT - Specialty
AMT,AMERICAN TOWER,2021,54.59,63.17,50.25,73.4,Real Estate,REIT - Specialty
